Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Utilities,LotConfig,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,MasVnrArea,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageCars,GarageQual,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleCondition,SalePrice,LotShape_IR2,LotShape_IR3,LotShape_Reg,LandContour_HLS,LandContour_Low,LandContour_Lvl,LandSlope_Mod,LandSlope_Sev,ExterQual_Fa,ExterQual_Gd,KitchenQual_Fa,KitchenQual_Gd,GarageFinish_Fin,GarageFinish_RFn,GarageFinish_Unf,PavedDrive_P,PavedDrive_Y
11,20,191004.99478714162,70.0,11200,1,0,176938.0475285171,136793.13513513515,184495.49206349207,181169.40553633217,185763.80737704918,175985.4779614325,5,5,1965,1965,218876.93356643355,179803.6792189679,163077.45045045044,0.0,184034.89625585024,149805.714511041,140759.81818181818,183632.6209000763,165652.29590766,146889.24812030076,906,184694.69028662422,0,134,1040,182021.19537815126,214914.42914979756,1,186825.1131934033,0,0,1040,1,0,1,0,3,1,183429.14705882352,0,141331.48260869566,134091.16279069768,1965.0,1,187489.8360030511,0,0,0,0,0,0,0,2,2008,175202.21953255427,129500,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True
12,60,191004.99478714162,85.0,11924,1,0,176938.0475285171,316270.6233766234,184495.49206349207,181169.40553633217,185763.80737704918,210051.76404494382,9,5,2005,2006,218876.93356643355,179803.6792189679,150655.07692307694,286.0,184034.89625585024,225230.44204018547,327041.04132231406,183632.6209000763,165652.29590766,235413.72009569377,998,184694.69028662422,0,177,1175,182021.19537815126,214914.42914979756,1,186825.1131934033,1142,0,2324,1,0,3,0,4,1,183429.14705882352,2,226351.41578947369,254751.73863636365,2005.0,3,187489.8360030511,147,21,0,0,0,0,0,7,2006,272291.752,345000,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True
13,20,191004.99478714162,70.04995836802665,12968,1,0,176938.0475285171,136793.13513513515,184495.49206349207,181169.40553633217,185763.80737704918,175985.4779614325,5,6,1962,1962,218876.93356643355,179803.6792189679,163077.45045045044,0.0,184034.89625585024,149805.714511041,140759.81818181818,183632.6209000763,165652.29590766,161573.06818181818,737,184694.69028662422,0,175,912,182021.19537815126,142362.8761682243,1,186825.1131934033,0,0,912,1,0,1,0,2,1,183429.14705882352,0,141331.48260869566,134091.16279069768,1962.0,1,187489.8360030511,140,0,0,0,176,0,0,9,2008,175202.21953255427,144000,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True
14,20,191004.99478714162,91.0,10652,1,0,176938.0475285171,197965.77333333335,184495.49206349207,181169.40553633217,185763.80737704918,175985.4779614325,7,5,2006,2007,171483.95617879054,179803.6792189679,213732.90097087377,306.0,184034.89625585024,225230.44204018547,202688.4789644013,183632.6209000763,206643.42081447964,170670.57674418605,0,184694.69028662422,0,1494,1494,182021.19537815126,214914.42914979756,1,186825.1131934033,0,0,1494,0,0,2,0,3,1,183429.14705882352,1,226351.41578947369,202892.65632183908,2006.0,3,187489.8360030511,160,33,0,0,0,0,0,8,2007,272291.752,279500,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,True
15,20,191004.99478714162,70.04995836802665,10920,1,0,181623.4258555133,145847.08,184495.49206349207,181169.40553633217,185763.80737704918,175985.4779614325,6,5,1960,1960,218876.93356643355,179803.6792189679,149422.17727272728,212.0,184034.89625585024,149805.714511041,140759.81818181818,183632.6209000763,165652.29590766,149493.6554054054,733,184694.69028662422,0,520,1253,182021.19537815126,142362.8761682243,1,186825.1131934033,0,0,1253,1,0,1,1,2,1,183429.14705882352,1,167298.48484848486,202892.65632183908,1960.0,1,187489.8360030511,0,213,176,0,0,0,0,5,2008,175202.21953255427,157000,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True
16,45,126316.83027522935,51.0,6120,1,0,181623.4258555133,124834.05172413793,184495.49206349207,181169.40553633217,185763.80737704918,110150.0,7,8,1929,2001,171483.95617879054,179803.6792189679,149841.64563106795,0.0,184034.89625585024,132291.07534246575,140759.81818181818,183632.6209000763,165652.29590766,170670.57674418605,0,184694.69028662422,0,832,832,182021.19537815126,214914.42914979756,1,122196.89361702128,0,0,854,0,0,1,0,2,1,183429.14705882352,0,141331.48260869566,134091.16279069768,1991.0,2,187489.8360030511,48,112,0,0,0,0,0,7,2007,175202.21953255427,132000,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True
17,20,191004.99478714162,70.04995836802665,11241,1,0,223854.6170212766,145847.08,184495.49206349207,181169.40553633217,185763.80737704918,175985.4779614325,6,7,1970,1970,171483.95617879054,179803.6792189679,149841.64563106795,180.0,184034.89625585024,149805.714511041,140759.81818181818,183632.6209000763,165652.29590766,161573.06818181818,578,184694.69028662422,0,426,1004,182021.19537815126,214914.42914979756,1,186825.1131934033,0,0,1004,1,0,1,0,2,1,183429.14705882352,1,205723.48881789137,202892.65632183908,1970.0,2,187489.8360030511,0,0,0,0,0,0,700,3,2010,175202.21953255427,149000,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True
18,90,191004.99478714162,72.0,10791,1,0,176938.0475285171,136793.13513513515,184495.49206349207,181169.40553633217,133541.07692307694,175985.4779614325,4,5,1967,1967,171483.95617879054,179803.6792189679,149422.17727272728,0.0,184034.89625585024,107365.625,105652.8918918919,105652.8918918919,107938.34210526316,105652.8918918919,0,110346.23684210527,0,0,0,182021.19537815126,142362.8761682243,1,186825.1131934033,0,0,1296,0,0,2,0,2,2,183429.14705882352,0,141331.48260869566,109962.11111111111,1967.0,2,187489.8360030511,0,0,0,0,0,0,500,10,2006,175202.21953255427,90000,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True
19,20,191004.99478714162,66.0,13695,1,0,176938.0475285171,186555.7966101695,138400.0,181169.40553633217,185763.80737704918,175985.4779614325,5,5,2004,2004,171483.95617879054,179803.6792189679,213732.90097087377,0.0,184034.89625585024,225230.44204018547,140759.81818181818,183632.6209000763,165652.29590766,235413.72009569377,646,184694.69028662422,0,468,1114,182021.19537815126,214914.42914979756,1,186825.1131934033,0,0,1114,1,0,1,1,3,1,183429.14705882352,0,141331.48260869566,134091.16279069768,2004.0,2,187489.8360030511,0,102,0,0,0,0,0,6,2008,175202.21953255427,159000,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,True
20,20,191004.99478714162,70.0,7560,1,0,176938.0475285171,145847.08,184495.49206349207,181169.40553633217,185763.80737704918,175985.4779614325,5,6,1958,1965,218876.93356643355,179803.6792189679,194573.0,0.0,184034.89625585024,149805.714511041,140759.81818181818,183632.6209000763,165652.29590766,151852.7027027027,504,184694.69028662422,0,525,1029,182021.19537815126,142362.8761682243,1,186825.1131934033,0,0,1339,0,0,1,0,3,1,146385.48387096773,0,141331.48260869566,202892.65632183908,1958.0,1,187489.8360030511,0,0,0,0,0,0,0,5,2009,146526.62376237623,139000,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True
21,60,191004.99478714162,101.0,14215,1,0,181623.4258555133,316270.6233766234,184495.49206349207,181169.40553633217,185763.80737704918,210051.76404494382,8,5,2005,2006,171483.95617879054,179803.6792189679,213732.90097087377,380.0,184034.89625585024,225230.44204018547,327041.04132231406,183632.6209000763,206643.42081447964,170670.57674418605,0,184694.69028662422,0,1158,1158,182021.19537815126,214914.42914979756,1,186825.1131934033,1218,0,2376,0,0,3,1,4,1,183429.14705882352,1,226351.41578947369,254751.73863636365,2005.0,3,187489.8360030511,240,154,0,0,0,0,0,11,2006,272291.752,325300,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,True
22,45,126316.83027522935,57.0,7449,1,0,176938.0475285171,100123.78378378379,184495.49206349207,181169.40553633217,185763.80737704918,110150.0,7,7,1930,1950,171483.95617879054,179803.6792189679,149841.64563106795,0.0,184034.89625585024,225230.44204018547,140759.81818181818,183632.6209000763,165652.29590766,170670.57674418605,0,184694.69028662422,0,637,637,182021.19537815126,214914.42914979756,1,107675.44444444444,0,0,1108,0,0,1,0,3,1,183429.14705882352,1,226351.41578947369,202892.65632183908,1930.0,1,187489.8360030511,0,0,205,0,0,0,0,6,2007,175202.21953255427,139400,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False
23,20,191004.99478714162,75.0,9742,1,0,176938.0475285171,197965.77333333335,184495.49206349207,181169.40553633217,185763.80737704918,175985.4779614325,8,5,2002,2002,218876.93356643355,179803.6792189679,213732.90097087377,281.0,184034.89625585024,225230.44204018547,202688.4789644013,183632.6209000763,165652.29590766,170670.57674418605,0,184694.69028662422,0,1777,1777,182021.19537815126,214914.42914979756,1,186825.1131934033,0,0,1795,0,0,2,0,3,1,183429.14705882352,1,226351.41578947369,202892.65632183908,2002.0,2,187489.8360030511,171,159,0,0,0,0,0,9,2008,175202.21953255427,230000,False,False,True,False,False,True,False,False,False,True,False,True,False,True,False,False,True
24,120,126316.83027522935,44.0,4224,1,0,176938.0475285171,98576.4705882353,184495.49206349207,181169.40553633217,181959.34210526315,175985.4779614325,5,7,1976,1976,171483.95617879054,179803.6792189679,231690.65573770492,0.0,184034.89625585024,225230.44204018547,202688.4789644013,183632.6209000763,165652.29590766,235413.72009569377,840,184694.69028662422,0,200,1040,182021.19537815126,142362.8761682243,1,186825.1131934033,0,0,1060,1,0,1,0,3,1,183429.14705882352,1,205723.48881789137,202892.65632183908,1976.0,2,187489.8360030511,100,110,0,0,0,0,0,6,2007,175202.21953255427,129900,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True
25,20,191004.99478714162,70.04995836802665,8246,1,0,176938.0475285171,136793.13513513515,184495.49206349207,181169.40553633217,185763.80737704918,175985.4779614325,5,8,1968,2001,171483.95617879054,179803.6792189679,175942.37962962964,0.0,168897.5684931507,149805.714511041,140759.81818181818,183632.6209000763,192789.65789473685,146889.24812030076,188,209942.1052631579,668,204,1060,182021.19537815126,214914.42914979756,1,186825.1131934033,0,0,1060,1,0,1,0,3,1,183429.14705882352,1,205723.48881789137,202892.65632183908,1968.0,1,187489.8360030511,406,90,0,0,0,0,0,5,2010,175202.21953255427,154000,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True
26,20,191004.99478714162,110.0,14230,1,0,181623.4258555133,316270.6233766234,184495.49206349207,181169.40553633217,185763.80737704918,175985.4779614325,8,5,2007,2007,171483.95617879054,179803.6792189679,213732.90097087377,640.0,184034.89625585024,225230.44204018547,202688.4789644013,183632.6209000763,165652.29590766,170670.57674418605,0,184694.69028662422,0,1566,1566,182021.19537815126,214914.42914979756,1,186825.1131934033,0,0,1600,0,0,2,0,3,1,183429.14705882352,1,226351.41578947369,202892.65632183908,2007.0,3,187489.8360030511,0,56,0,0,0,0,0,7,2009,175202.21953255427,256300,False,False,True,False,False,True,False,False,False,True,False,True,False,True,False,False,True
27,20,191004.99478714162,60.0,7200,1,0,181623.4258555133,145847.08,184495.49206349207,181169.40553633217,185763.80737704918,175985.4779614325,5,7,1951,2000,171483.95617879054,179803.6792189679,149841.64563106795,0.0,184034.89625585024,149805.714511041,140759.81818181818,183632.6209000763,192789.65789473685,149493.6554054054,234,164917.12962962964,486,180,900,182021.19537815126,142362.8761682243,1,186825.1131934033,0,0,900,0,1,1,0,3,1,183429.14705882352,0,141331.48260869566,134091.16279069768,2005.0,2,187489.8360030511,222,32,0,0,0,0,0,5,2010,175202.21953255427,134800,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,True
28,20,191004.99478714162,98.0,11478,1,0,176938.0475285171,316270.6233766234,184495.49206349207,181169.40553633217,185763.80737704918,175985.4779614325,8,5,2007,2008,171483.95617879054,179803.6792189679,213732.90097087377,200.0,184034.89625585024,225230.44204018547,327041.04132231406,183632.6209000763,165652.29590766,235413.72009569377,1218,184694.69028662422,0,486,1704,182021.19537815126,214914.42914979756,1,186825.1131934033,0,0,1704,1,0,2,0,3,1,183429.14705882352,1,226351.41578947369,202892.65632183908,2008.0,3,187489.8360030511,0,50,0,0,0,0,0,5,2010,175202.21953255427,306000,False,False,True,False,False,True,False,False,False,True,False,True,False,True,False,False,True
29,20,191004.99478714162,47.0,16321,1,0,223854.6170212766,145847.08,184495.49206349207,181169.40553633217,185763.80737704918,175985.4779614325,5,6,1957,1997,171483.95617879054,179803.6792189679,149422.17727272728,0.0,184034.89625585024,149805.714511041,140759.81818181818,183632.6209000763,257689.80597014926,149493.6554054054,1277,184694.69028662422,0,207,1484,182021.19537815126,142362.8761682243,1,186825.1131934033,0,0,1600,1,0,1,0,2,1,183429.14705882352,2,226351.41578947369,202892.65632183908,1957.0,1,187489.8360030511,288,258,0,0,0,0,0,12,2006,175202.21953255427,207500,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True
30,30,126316.83027522935,60.0,6324,1,0,176938.0475285171,124834.05172413793,142475.4814814815,96750.0,185763.80737704918,175985.4779614325,4,6,1927,1950,171483.95617879054,179803.6792189679,149422.17727272728,0.0,184034.89625585024,132291.07534246575,140759.81818181818,183632.6209000763,165652.29590766,170670.57674418605,0,184694.69028662422,0,520,520,182021.19537815126,123919.48979591837,0,186825.1131934033,0,0,520,0,0,1,0,1,1,183429.14705882352,0,141331.48260869566,134091.16279069768,1920.0,1,123573.35416666667,49,0,87,0,0,0,0,5,2008,175202.21953255427,68500,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True
31,70,74528.0,50.0,8500,1,0,176938.0475285171,100123.78378378379,142475.4814814815,181169.40553633217,185763.80737704918,210051.76404494382,4,4,1920,1950,148909.0909090909,179803.6792189679,194573.0,0.0,102595.14285714286,132291.07534246575,140759.81818181818,183632.6209000763,165652.29590766,170670.57674418605,0,184694.69028662422,0,649,649,182021.19537815126,142362.8761682243,0,186825.1131934033,668,0,1317,0,0,1,0,3,1,183429.14705882352,0,141331.48260869566,134091.16279069768,1920.0,1,187489.8360030511,0,54,172,0,0,0,0,7,2008,175202.21953255427,40000,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False
32,20,191004.99478714162,70.04995836802665,8544,1,0,223854.6170212766,136793.13513513515,184495.49206349207,181169.40553633217,185763.80737704918,175985.4779614325,5,6,1966,2006,171483.95617879054,179803.6792189679,163077.45045045044,0.0,184034.89625585024,149805.714511041,140759.81818181818,183632.6209000763,165652.29590766,170670.57674418605,0,184694.69028662422,0,1228,1228,182021.19537815126,156858.87136929462,1,186825.1131934033,0,0,1228,0,0,1,1,3,1,183429.14705882352,0,141331.48260869566,202892.65632183908,1966.0,1,187489.8360030511,0,65,0,0,0,0,0,6,2008,175202.21953255427,149350,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True
33,20,191004.99478714162,85.0,11049,1,0,181623.4258555133,197965.77333333335,184495.49206349207,181169.40553633217,185763.80737704918,175985.4779614325,8,5,2007,2007,171483.95617879054,179803.6792189679,213732.90097087377,0.0,184034.89625585024,225230.44204018547,327041.04132231406,183632.6209000763,206643.42081447964,170670.57674418605,0,184694.69028662422,0,1234,1234,182021.19537815126,214914.42914979756,1,186825.1131934033,0,0,1234,0,0,2,0,3,1,183429.14705882352,0,141331.48260869566,202892.65632183908,2007.0,2,187489.8360030511,0,30,0,0,0,0,0,1,2008,175202.21953255427,179900,False,False,True,False,False,True,False,False,False,True,False,True,False,True,False,False,True
34,20,191004.99478714162,70.0,10552,1,0,176938.0475285171,145847.08,184495.49206349207,181169.40553633217,185763.80737704918,175985.4779614325,5,5,1959,1959,218876.93356643355,179803.6792189679,194573.0,0.0,184034.89625585024,149805.714511041,140759.81818181818,183632.6209000763,165652.29590766,146889.24812030076,1018,184694.69028662422,0,380,1398,182021.19537815126,156858.87136929462,1,186825.1131934033,0,0,1700,0,1,1,1,4,1,183429.14705882352,1,226351.41578947369,202892.65632183908,1959.0,2,187489.8360030511,0,38,0,0,0,0,0,4,2010,175202.21953255427,165500,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True
35,120,191004.99478714162,60.0,7313,1,0,176938.0475285171,316270.6233766234,184495.49206349207,181169.40553633217,181959.34210526315,175985.4779614325,9,5,2005,2005,218876.93356643355,179803.6792189679,149422.17727272728,246.0,184034.89625585024,225230.44204018547,327041.04132231406,183632.6209000763,165652.29590766,235413.72009569377,1153,184694.69028662422,0,408,1561,182021.19537815126,214914.42914979756,1,186825.1131934033,0,0,1561,1,0,2,0,2,1,183429.14705882352,1,226351.41578947369,202892.65632183908,2005.0,2,187489.8360030511,203,47,0,0,0,0,0,8,2007,175202.21953255427,277500,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True
36,60,191004.99478714162,108.0,13418,1,0,176938.0475285171,316270.6233766234,184495.49206349207,181169.40553633217,185763.80737704918,210051.76404494382,8,5,2004,2005,171483.95617879054,179803.6792189679,213732.90097087377,132.0,184034.89625585024,225230.44204018547,327041.04132231406,183632.6209000763,206643.42081447964,170670.57674418605,0,184694.69028662422,0,1117,1117,182021.19537815126,214914.42914979756,1,186825.1131934033,1320,0,2452,0,0,3,1,4,1,183429.14705882352,1,226351.41578947369,254751.73863636365,2004.0,3,187489.8360030511,113,32,0,0,0,0,0,9,2006,175202.21953255427,309000,False,False,True,False,False,True,False,False,False,True,False,True,True,False,False,False,True
37,20,191004.99478714162,112.0,10859,1,0,181623.4258555133,197965.77333333335,184495.49206349207,181169.40553633217,185763.80737704918,175985.4779614325,5,5,1994,1995,171483.95617879054,179803.6792189679,213732.90097087377,0.0,184034.89625585024,225230.44204018547,202688.4789644013,183632.6209000763,165652.29590766,170670.57674418605,0,184694.69028662422,0,1097,1097,182021.19537815126,214914.42914979756,1,186825.1131934033,0,0,1097,0,0,1,1,3,1,183429.14705882352,0,141331.48260869566,202892.65632183908,1995.0,2,187489.8360030511,392,64,0,0,0,0,0,6,2009,175202.21953255427,145000,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True
38,20,191004.99478714162,74.0,8532,1,0,176938.0475285171,145847.08,184495.49206349207,181169.40553633217,185763.80737704918,175985.4779614325,5,6,1954,1990,218876.93356643355,179803.6792189679,149841.64563106795,650.0,184034.89625585024,149805.714511041,140759.81818181818,183632.6209000763,165652.29590766,146889.24812030076,1213,184694.69028662422,0,84,1297,182021.19537815126,156858.87136929462,1,186825.1131934033,0,0,1297,0,1,1,0,3,1,183429.14705882352,1,205723.48881789137,202892.65632183908,1954.0,2,187489.8360030511,0,0,0,0,0,0,0,10,2009,175202.21953255427,153000,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True
39,20,191004.99478714162,68.0,7922,1,0,176938.0475285171,145847.08,184495.49206349207,181169.40553633217,185763.80737704918,175985.4779614325,5,7,1953,2007,171483.95617879054,179803.6792189679,213732.90097087377,0.0,168897.5684931507,149805.714511041,140759.81818181818,183632.6209000763,165652.29590766,235413.72009569377,731,184694.69028662422,0,326,1057,182021.19537815126,142362.8761682243,1,186825.1131934033,0,0,1057,1,0,1,0,3,1,183429.14705882352,0,141331.48260869566,134091.16279069768,1953.0,1,187489.8360030511,0,52,0,0,0,0,0,1,2010,146526.62376237623,109000,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,True
